[2025-03-09T09:12:18.497+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-03-09T09:12:18.538+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_nexon_data_sequential.collect_and_save_match_data_to_json_to_s3 scheduled__2025-03-08T01:00:00+00:00 [queued]>
[2025-03-09T09:12:18.552+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_nexon_data_sequential.collect_and_save_match_data_to_json_to_s3 scheduled__2025-03-08T01:00:00+00:00 [queued]>
[2025-03-09T09:12:18.553+0000] {taskinstance.py:2306} INFO - Starting attempt 3 of 3
[2025-03-09T09:12:18.566+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): collect_and_save_match_data_to_json_to_s3> on 2025-03-08 01:00:00+00:00
[2025-03-09T09:12:18.574+0000] {standard_task_runner.py:63} INFO - Started process 14788 to run task
[2025-03-09T09:12:18.578+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_nexon_data_sequential', 'collect_and_save_match_data_to_json_to_s3', 'scheduled__2025-03-08T01:00:00+00:00', '--job-id', '46', '--raw', '--subdir', 'DAGS_FOLDER/collect_match_info.py', '--cfg-path', '/tmp/tmpwa5jpe54']
[2025-03-09T09:12:18.581+0000] {standard_task_runner.py:91} INFO - Job 46: Subtask collect_and_save_match_data_to_json_to_s3
[2025-03-09T09:12:18.645+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_nexon_data_sequential.collect_and_save_match_data_to_json_to_s3 scheduled__2025-03-08T01:00:00+00:00 [running]> on host 40942f81e2c9
[2025-03-09T09:12:43.221+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 31 / 1000...11번째 유저 처리중
[2025-03-09T09:12:44.429+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 32 / 1000...11번째 유저 처리중
[2025-03-09T09:12:45.035+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 33 / 1000...11번째 유저 처리중
[2025-03-09T09:12:45.717+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 34 / 1000...12번째 유저 처리중
[2025-03-09T09:12:46.588+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 35 / 1000...12번째 유저 처리중
[2025-03-09T09:12:47.185+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 36 / 1000...12번째 유저 처리중
[2025-03-09T09:12:47.874+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 37 / 1000...13번째 유저 처리중
[2025-03-09T09:12:48.773+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 38 / 1000...13번째 유저 처리중
[2025-03-09T09:12:49.333+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 39 / 1000...13번째 유저 처리중
[2025-03-09T09:12:50.011+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 40 / 1000...14번째 유저 처리중
[2025-03-09T09:12:50.865+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 41 / 1000...14번째 유저 처리중
[2025-03-09T09:12:51.393+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 42 / 1000...14번째 유저 처리중
[2025-03-09T09:12:52.179+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 43 / 1000...15번째 유저 처리중
[2025-03-09T09:12:52.945+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 44 / 1000...15번째 유저 처리중
[2025-03-09T09:12:53.554+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 45 / 1000...15번째 유저 처리중
[2025-03-09T09:12:54.284+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 46 / 1000...16번째 유저 처리중
[2025-03-09T09:12:55.107+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 47 / 1000...16번째 유저 처리중
[2025-03-09T09:12:55.700+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 48 / 1000...16번째 유저 처리중
[2025-03-09T09:12:56.459+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 49 / 1000...17번째 유저 처리중
[2025-03-09T09:12:57.430+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 50 / 1000...17번째 유저 처리중
[2025-03-09T09:12:58.028+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 51 / 1000...17번째 유저 처리중
[2025-03-09T09:12:58.720+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 52 / 1000...18번째 유저 처리중
[2025-03-09T09:12:59.734+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 53 / 1000...18번째 유저 처리중
[2025-03-09T09:13:00.344+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 54 / 1000...18번째 유저 처리중
[2025-03-09T09:13:01.065+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 55 / 1000...19번째 유저 처리중
[2025-03-09T09:13:01.899+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 56 / 1000...19번째 유저 처리중
[2025-03-09T09:13:02.464+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 57 / 1000...19번째 유저 처리중
[2025-03-09T09:13:03.222+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 58 / 1000...20번째 유저 처리중
[2025-03-09T09:13:04.105+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 59 / 1000...20번째 유저 처리중
[2025-03-09T09:13:04.667+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 60 / 1000...20번째 유저 처리중
[2025-03-09T09:13:05.390+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 61 / 1000...21번째 유저 처리중
[2025-03-09T09:13:06.126+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 62 / 1000...21번째 유저 처리중
[2025-03-09T09:13:06.731+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 63 / 1000...21번째 유저 처리중
[2025-03-09T09:13:07.477+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 64 / 1000...22번째 유저 처리중
[2025-03-09T09:13:08.241+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 65 / 1000...22번째 유저 처리중
[2025-03-09T09:13:08.797+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 66 / 1000...22번째 유저 처리중
[2025-03-09T09:13:09.568+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 67 / 1000...23번째 유저 처리중
[2025-03-09T09:13:10.416+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 68 / 1000...23번째 유저 처리중
[2025-03-09T09:13:10.941+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 69 / 1000...23번째 유저 처리중
[2025-03-09T09:13:11.642+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 70 / 1000...24번째 유저 처리중
[2025-03-09T09:13:12.459+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 71 / 1000...24번째 유저 처리중
[2025-03-09T09:13:13.054+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 72 / 1000...24번째 유저 처리중
[2025-03-09T09:13:13.774+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 73 / 1000...25번째 유저 처리중
[2025-03-09T09:13:14.615+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 74 / 1000...25번째 유저 처리중
[2025-03-09T09:13:15.209+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 75 / 1000...25번째 유저 처리중
[2025-03-09T09:13:15.952+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 76 / 1000...26번째 유저 처리중
[2025-03-09T09:13:17.109+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 77 / 1000...26번째 유저 처리중
[2025-03-09T09:13:17.699+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 78 / 1000...26번째 유저 처리중
[2025-03-09T09:13:18.458+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 79 / 1000...27번째 유저 처리중
[2025-03-09T09:13:19.306+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 80 / 1000...27번째 유저 처리중
[2025-03-09T09:13:19.901+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 81 / 1000...27번째 유저 처리중
[2025-03-09T09:13:20.612+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 82 / 1000...28번째 유저 처리중
[2025-03-09T09:13:21.660+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 83 / 1000...28번째 유저 처리중
[2025-03-09T09:13:22.262+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 84 / 1000...28번째 유저 처리중
[2025-03-09T09:13:22.964+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 85 / 1000...29번째 유저 처리중
[2025-03-09T09:13:24.142+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 86 / 1000...29번째 유저 처리중
[2025-03-09T09:13:24.747+0000] {collect_match_info.py:50} INFO - [test_e6909888ec92f5b5f491e01bee9522ac400c1e853372ba9018fba3789dc32742efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 87 / 1000...29번째 유저 처리중
