[2025-03-13T01:40:02.030+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-03-13T01:40:02.074+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: fetch_nexon_data_sequential.collect_and_save_match_data_to_json_to_s3 scheduled__2025-03-12T01:40:00+00:00 [queued]>
[2025-03-13T01:40:02.089+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: fetch_nexon_data_sequential.collect_and_save_match_data_to_json_to_s3 scheduled__2025-03-12T01:40:00+00:00 [queued]>
[2025-03-13T01:40:02.089+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-03-13T01:40:02.259+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): collect_and_save_match_data_to_json_to_s3> on 2025-03-12 01:40:00+00:00
[2025-03-13T01:40:02.267+0000] {standard_task_runner.py:63} INFO - Started process 6030 to run task
[2025-03-13T01:40:02.271+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'fetch_nexon_data_sequential', 'collect_and_save_match_data_to_json_to_s3', 'scheduled__2025-03-12T01:40:00+00:00', '--job-id', '107', '--raw', '--subdir', 'DAGS_FOLDER/collect_match_info_dag.py', '--cfg-path', '/tmp/tmp3di6i1mu']
[2025-03-13T01:40:02.274+0000] {standard_task_runner.py:91} INFO - Job 107: Subtask collect_and_save_match_data_to_json_to_s3
[2025-03-13T01:40:02.339+0000] {task_command.py:426} INFO - Running <TaskInstance: fetch_nexon_data_sequential.collect_and_save_match_data_to_json_to_s3 scheduled__2025-03-12T01:40:00+00:00 [running]> on host a0d797a25898
[2025-03-13T01:40:09.136+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 8 / 1000...3번째 유저 처리중
[2025-03-13T01:40:09.758+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 9 / 1000...3번째 유저 처리중
[2025-03-13T01:40:10.446+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 10 / 1000...4번째 유저 처리중
[2025-03-13T01:40:11.224+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 11 / 1000...4번째 유저 처리중
[2025-03-13T01:40:11.824+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 12 / 1000...4번째 유저 처리중
[2025-03-13T01:40:12.585+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 13 / 1000...5번째 유저 처리중
[2025-03-13T01:40:13.465+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 14 / 1000...5번째 유저 처리중
[2025-03-13T01:40:14.055+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 15 / 1000...5번째 유저 처리중
[2025-03-13T01:40:14.788+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 16 / 1000...6번째 유저 처리중
[2025-03-13T01:40:16.191+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 17 / 1000...6번째 유저 처리중
[2025-03-13T01:40:16.802+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 18 / 1000...6번째 유저 처리중
[2025-03-13T01:40:17.574+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 19 / 1000...7번째 유저 처리중
[2025-03-13T01:40:18.330+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 20 / 1000...7번째 유저 처리중
[2025-03-13T01:40:18.923+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 21 / 1000...7번째 유저 처리중
[2025-03-13T01:40:19.648+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 22 / 1000...8번째 유저 처리중
[2025-03-13T01:40:21.234+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 23 / 1000...8번째 유저 처리중
[2025-03-13T01:40:21.839+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 24 / 1000...8번째 유저 처리중
[2025-03-13T01:40:22.599+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 25 / 1000...9번째 유저 처리중
[2025-03-13T01:40:24.122+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 26 / 1000...9번째 유저 처리중
[2025-03-13T01:40:24.726+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 27 / 1000...9번째 유저 처리중
[2025-03-13T01:40:25.477+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 28 / 1000...10번째 유저 처리중
[2025-03-13T01:40:26.582+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 29 / 1000...10번째 유저 처리중
[2025-03-13T01:40:27.183+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 30 / 1000...10번째 유저 처리중
[2025-03-13T01:40:27.952+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 31 / 1000...11번째 유저 처리중
[2025-03-13T01:40:28.972+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 32 / 1000...11번째 유저 처리중
[2025-03-13T01:40:29.537+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 33 / 1000...11번째 유저 처리중
[2025-03-13T01:40:30.301+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 34 / 1000...12번째 유저 처리중
[2025-03-13T01:40:31.265+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 35 / 1000...12번째 유저 처리중
[2025-03-13T01:40:31.863+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 36 / 1000...12번째 유저 처리중
[2025-03-13T01:40:32.598+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 37 / 1000...13번째 유저 처리중
[2025-03-13T01:40:34.371+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 38 / 1000...13번째 유저 처리중
[2025-03-13T01:40:34.978+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 39 / 1000...13번째 유저 처리중
[2025-03-13T01:40:35.758+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 40 / 1000...14번째 유저 처리중
[2025-03-13T01:40:37.144+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 41 / 1000...14번째 유저 처리중
[2025-03-13T01:40:37.759+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 42 / 1000...14번째 유저 처리중
[2025-03-13T01:40:38.485+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 43 / 1000...15번째 유저 처리중
[2025-03-13T01:40:39.538+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 44 / 1000...15번째 유저 처리중
[2025-03-13T01:40:40.140+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 45 / 1000...15번째 유저 처리중
[2025-03-13T01:40:40.898+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 46 / 1000...16번째 유저 처리중
[2025-03-13T01:40:42.414+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 47 / 1000...16번째 유저 처리중
[2025-03-13T01:40:43.010+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 48 / 1000...16번째 유저 처리중
[2025-03-13T01:40:43.778+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 49 / 1000...17번째 유저 처리중
[2025-03-13T01:40:45.054+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 50 / 1000...17번째 유저 처리중
[2025-03-13T01:40:45.650+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 51 / 1000...17번째 유저 처리중
[2025-03-13T01:40:46.407+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 52 / 1000...18번째 유저 처리중
[2025-03-13T01:40:47.437+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 53 / 1000...18번째 유저 처리중
[2025-03-13T01:40:48.031+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 54 / 1000...18번째 유저 처리중
[2025-03-13T01:40:48.868+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 55 / 1000...19번째 유저 처리중
[2025-03-13T01:40:49.776+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 56 / 1000...19번째 유저 처리중
[2025-03-13T01:40:50.364+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 57 / 1000...19번째 유저 처리중
[2025-03-13T01:40:51.170+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 58 / 1000...20번째 유저 처리중
[2025-03-13T01:40:52.044+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 59 / 1000...20번째 유저 처리중
[2025-03-13T01:40:52.644+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 60 / 1000...20번째 유저 처리중
[2025-03-13T01:40:53.389+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 61 / 1000...21번째 유저 처리중
[2025-03-13T01:40:54.389+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 62 / 1000...21번째 유저 처리중
[2025-03-13T01:40:54.977+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 63 / 1000...21번째 유저 처리중
[2025-03-13T01:40:55.707+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 64 / 1000...22번째 유저 처리중
[2025-03-13T01:40:56.778+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 65 / 1000...22번째 유저 처리중
[2025-03-13T01:40:57.376+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 66 / 1000...22번째 유저 처리중
[2025-03-13T01:40:58.134+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 67 / 1000...23번째 유저 처리중
[2025-03-13T01:40:59.121+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 68 / 1000...23번째 유저 처리중
[2025-03-13T01:40:59.721+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 69 / 1000...23번째 유저 처리중
[2025-03-13T01:41:00.486+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 70 / 1000...24번째 유저 처리중
[2025-03-13T01:41:01.973+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 71 / 1000...24번째 유저 처리중
[2025-03-13T01:41:02.572+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 72 / 1000...24번째 유저 처리중
[2025-03-13T01:41:03.341+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 73 / 1000...25번째 유저 처리중
[2025-03-13T01:41:04.563+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 74 / 1000...25번째 유저 처리중
[2025-03-13T01:41:05.167+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 75 / 1000...25번째 유저 처리중
[2025-03-13T01:41:05.939+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 76 / 1000...26번째 유저 처리중
[2025-03-13T01:41:07.011+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 77 / 1000...26번째 유저 처리중
[2025-03-13T01:41:07.641+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 78 / 1000...26번째 유저 처리중
[2025-03-13T01:41:08.364+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 79 / 1000...27번째 유저 처리중
[2025-03-13T01:41:09.524+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 80 / 1000...27번째 유저 처리중
[2025-03-13T01:41:10.124+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 81 / 1000...27번째 유저 처리중
[2025-03-13T01:41:10.889+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 82 / 1000...28번째 유저 처리중
[2025-03-13T01:41:11.718+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 83 / 1000...28번째 유저 처리중
[2025-03-13T01:41:12.349+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 84 / 1000...28번째 유저 처리중
[2025-03-13T01:41:13.122+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 85 / 1000...29번째 유저 처리중
[2025-03-13T01:41:14.209+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 86 / 1000...29번째 유저 처리중
[2025-03-13T01:41:14.806+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 87 / 1000...29번째 유저 처리중
[2025-03-13T01:41:15.558+0000] {collect_match_info_dag.py:70} INFO - [test_5010efba3682683b12924285f5b57fddd72020c6ab59dd21296f0ee0c67d1cf2efe8d04e6d233bd35cf2fabdeb93fb0d] 현재 사용량: 88 / 1000...30번째 유저 처리중
